,disease_areas,adverse_effect,different,matched,hypergeom_probs
0,fall,abulia,27,8,1.2503729896286296e-24
1,allogenic stem cell transplantation,acute graft versus host disease,35,10,2.011671375981684e-29
2,fallot,adactyly,6,2,2.695452788898499e-08
3,s tetralogy,adactyly,6,2,2.695452788898499e-08
4,gene mutation,adrenogenital syndrome,1,1,2.4475310529610962e-05
5,adult t-cell lymphoma,adult t-cell lymphoma,2,1,3.671296579441629e-05
6,cardiomegaly,alkalosis,3,1,7.342413444296117e-05
7,infection reactivation,american trypanosomiasis,5,2,1.7970125106816938e-08
8,asymptomatic hiv infection,amniotic band syndrome,4,2,8.98539244525997e-09
9,general anaesthesia,anaesthetic complication,71,26,2.8752912246289113e-72
10,biopsy,angiocentric lymphoma,1,1,2.4475310530639104e-05
11,reiter,angiocentric lymphoma,1,1,2.4475310530639104e-05
12,exfoliation glaucoma,anterior chamber disorder,3,1,4.8950621059221666e-05
13,graft infection,antimicrobial susceptibility test resistant,4,2,8.98539244525997e-09
14,hyperpyrexia,antithrombin iii decreased,6,2,2.695452788881281e-08
15,pterygium,application site hypoaesthesia,0,1,1.2237655264805459e-05
16,fall,apraxia,23,8,1.9285853347511575e-25
17,abortion induced,arnold-chiari malformation,10,5,8.90098901497298e-19
18,secondary hypogonadism,arteriovenous fistula thrombosis,3,1,7.342413444296117e-05
19,bronchioloalveolar carcinoma,autoimmune myocarditis,2,1,4.895002202786942e-05
20,b-cell type acute leukaemia,b-cell type acute leukaemia,10,6,1.9369819498400605e-23
21,drug diversion,biliary dilatation,14,4,1.4691666700854098e-14
22,abdominal abscess,blastomycosis,2,1,4.895002202786942e-05
23,blastomycosis,blastomycosis,1,1,2.4475310529610962e-05
24,s lymphoma recurrent,blood stem cell transplant failure,2,1,4.895002202786942e-05
25,adjustment disorder with depressed mood,blood triglycerides decreased,7,2,3.773541537109778e-08
26,hypomania,breathing-related sleep disorder,4,4,9.420155978313431e-17
27,mallory-weiss syndrome,bronchopulmonary dysplasia,12,6,4.490276338476059e-23
28,allergy test,bronchostenosis,7,3,7.696550054317403e-12
29,brucellosis,brucellosis,3,1,7.342413444296117e-05
30,post-traumatic epilepsy,cardioactive drug level increased,7,3,3.694615316358147e-12
31,febrile convulsion,catheter management,3,1,7.342413445140035e-05
32,diarrhoea infectious,catheter site pruritus,6,2,2.695452788881281e-08
33,seminoma,cerebral artery stenosis,7,2,2.5158175128182815e-08
34,acinetobacter infection,cerebral aspergillosis,6,2,1.8868862279623156e-08
35,chordoma,chordoma,0,2,2.9952407830466236e-10
36,retinoblastoma,chorioretinal atrophy,2,2,1.7971444697724005e-09
37,congenital retinoblastoma,choroidal infarction,2,5,6.917429855379976e-22
38,vitreous adhesions,chromatopsia,18,7,2.5907642199443867e-23
39,chronic recurrent multifocal osteomyelitis,chronic recurrent multifocal osteomyelitis,3,1,7.342413444296117e-05
40,cirrhosis alcoholic,cirrhosis alcoholic,3,1,7.342413445140035e-05
41,fungal test positive,citrobacter infection,3,1,7.342413445140035e-05
42,bronchopneumonia,clostridium difficile sepsis,2,1,3.671296579173881e-05
43,prophylaxis of abortion,coagulation disorder neonatal,21,9,8.485592175472307e-31
44,abortion induced,congenital choroid plexus cyst,10,4,6.215933414279109e-15
45,anaesthetic premedication,corneal deposits,3,1,7.342413445140035e-05
46,keratoconus,corneal deposits,3,1,7.342413445140035e-05
47,retinal vasculitis,corneal erosion,3,1,7.342413444296117e-05
48,keratoconus,corneal infiltrates,4,2,4.492861174569937e-09
49,keratoconus,corneal thinning,5,2,6.290005644397907e-09
50,cystic fibrosis,cystic fibrosis,58,16,1.454317040202377e-45
51,b-cell type acute leukaemia,cytokine release syndrome,35,12,1.50753150433114e-37
52,factor v deficiency,dandy-walker syndrome,9,4,1.3321976757396573e-15
53,joint injection,dental prosthesis placement,2,1,3.671296579441629e-05
54,secondary hypogonadism,dermo-hypodermitis,3,1,7.342413444296117e-05
55,polypoidal choroidal vasculopathy,detachment of retinal pigment epithelium,4,2,8.98539244525997e-09
56,post-traumatic epilepsy,diabetic metabolic decompensation,7,3,3.694615316358147e-12
57,diarrhoea infectious,diarrhoea infectious,6,3,4.398190084454076e-12
58,retinitis,disseminated cryptococcosis,2,2,2.6956837138191513e-09
59,disseminated tuberculosis,disseminated tuberculosis,17,6,1.3772925495425624e-20
60,dermal cyst,drug abuser,8,3,5.277957282711471e-12
61,gouty tophus,drug cross-reactivity,3,1,7.342413445140035e-05
62,heparin-induced thrombocytopenia,drug cross-reactivity,3,1,7.342413445140035e-05
63,myelopathy,dural arteriovenous fistula,2,1,4.895002202786942e-05
64,blood testosterone decreased,economic problem,532,185,3.9730891567469735e-307
65,circumcision,electrocardiogram t wave peaked,7,2,3.773541536958179e-08
66,cerebellar infarction,embolic cerebral infarction,7,2,3.773541536958179e-08
67,cytomegalovirus chorioretinitis,encephalitis cytomegalovirus,6,2,1.8868862278072622e-08
68,meningitis viral,encephalitis cytomegalovirus,5,3,1.5394607305076226e-12
69,eosinophilic granulomatosis with polyangiitis,eosinophilic granulomatosis with polyangiitis,3,2,5.3913014488763e-09
70,ependymoma,ependymoma,0,2,2.9952407830466236e-10
71,erythrodermic psoriasis,erythrodermic psoriasis,7,2,4.492201396444329e-08
72,immunocytoma,erythropoiesis abnormal,7,2,4.492201396444329e-08
73,lymphoplasmacytoid lymphoma,erythropoiesis abnormal,7,2,4.492201396444329e-08
74,febrile bone marrow aplasia,febrile bone marrow aplasia,10,3,9.676018160672626e-12
75,cholestasis of pregnancy,feeding disorder of infancy or early childhood,6,2,2.695452788898499e-08
76,aneurysm,femoral artery aneurysm,5,3,1.5394607303804294e-12
77,fibromatosis,fibromatosis,5,2,1.797012510695803e-08
78,cerebellar infarction,foetal exposure timing unspecified,3,1,4.895062106333458e-05
